City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,hilo,19.7297,-155.09,26.85,77,100,4.12,US,1696996323
83,molina,-35.1167,-71.2833,11.85,76,100,1.54,CL,1696996502
84,konarka,19.9,86.1167,32.22,66,38,2.24,IN,1696996392
85,vadso,70.0744,29.7487,-2.91,86,20,4.63,NO,1696996530
86,le port,-20.9373,55.2919,26.05,72,70,2.15,RE,1696996530
87,college,64.8569,-147.8028,-1.97,86,75,3.09,US,1696996530
88,semenivka,52.1783,32.5818,1.12,77,28,3.1,UA,1696996530
89,hawaiian paradise park,19.5933,-154.9731,26.73,78,100,4.12,US,1696996531
90,susuman,62.7833,148.1667,-8.61,76,100,1.09,RU,1696996531
91,tamanrasset,22.785,5.5228,17.95,27,0,2.06,DZ,1696996531
92,palangkaraya,-2.2,113.8333,33.24,40,100,1.84,ID,1696996531
93,murzuq,25.9155,13.9184,20.15,39,0,3.51,LY,1696996531
94,stung treng,13.5259,105.9683,30.82,68,37,1.85,KH,1696996531
95,tateyama,34.9833,139.8667,22.83,52,100,4.38,JP,1696996531
96,hasaki,35.7333,140.8333,25.16,54,100,6.51,JP,1696996531
97,sao gabriel da cachoeira,-0.1303,-67.0892,24.96,81,60,1.08,BR,1696996532
98,sisimiut,66.9395,-53.6735,-0.6,95,100,2.36,GL,1696996532
99,dunedin,-45.8742,170.5036,13.82,44,99,5.86,NZ,1696996479
100,porto novo,6.4965,2.6036,23.9,91,100,1.61,BJ,1696996532
101,kingston,17.997,-76.7936,29.53,77,20,3.09,JM,1696996434
102,ocos,14.5094,-92.1933,25.52,91,100,3.84,GT,1696996532
103,ubari,26.5921,12.7805,19.51,42,1,2.79,LY,1696996532
104,aberdeen,57.1437,-2.0981,9.27,71,78,5.14,GB,1696996532
105,yueyang,29.3333,113.0919,23.98,46,0,4.03,CN,1696996533
106,vorgashor,67.5833,63.95,-0.76,89,97,3.4,RU,1696996533
107,port mathurin,-19.6833,63.4167,23.45,73,63,6.49,MU,1696996533
108,st. john's,47.5649,-52.7093,11.05,99,100,5.66,CA,1696996310
109,korem,12.5058,39.5228,14.36,70,59,1.67,ET,1696996533
110,lobujya,27.95,86.8167,-1.42,58,1,3.05,NP,1696996533
111,bodo,67.28,14.405,6.02,77,100,14.4,NO,1696996533
112,qaqortoq,60.7167,-46.0333,4.77,59,96,0.54,GL,1696996533
113,es castell,39.8795,4.2854,19.38,94,0,1.54,ES,1696996533
114,jayapura,-2.5333,140.7,33.66,65,100,2.88,ID,1696996534
115,luderitz,-26.6481,15.1594,13.8,92,89,4.14,NA,1696996534
116,machico,32.7,-16.7667,25.07,48,0,1.54,PT,1696996534
117,sur,22.5667,59.5289,31.0,51,0,1.58,OM,1696996534
118,namibe,-15.1961,12.1522,18.19,88,100,1.79,AO,1696996534
119,arawa,-6.2132,155.5367,30.49,66,100,1.92,PG,1696996534
120,tinajo,29.0788,-13.7081,24.49,38,0,1.54,ES,1696996534
121,sault ste. marie,46.5168,-84.3333,7.16,89,20,2.06,CA,1696996406
122,al kharijah,25.4514,30.5464,21.54,46,0,3.67,EG,1696996534
123,serra branca,-6.5333,-38.2667,24.6,59,40,5.03,BR,1696996535
124,thunder bay,48.4001,-89.3168,6.99,81,75,1.54,CA,1696996346
125,havre,49.5833,0.3333,14.87,94,100,4.63,FR,1696996535
126,kulhudhuffushi,6.6221,73.07,27.46,75,100,2.92,MV,1696996535
127,port lincoln,-34.7333,135.8667,22.55,43,90,11.36,AU,1696996535
128,broken hill,-31.95,141.4333,27.73,23,0,5.1,AU,1696996535
129,pemba,-12.974,40.5178,23.39,94,20,3.13,MZ,1696996535
130,stanley,54.868,-1.6985,15.44,93,75,5.66,GB,1696996535
131,howrah,22.5892,88.3103,33.0,58,20,2.06,IN,1696996535
132,puerto madero,14.7208,-92.4215,26.47,85,100,3.26,MX,1696996535
133,anadyr,64.75,177.4833,1.28,69,75,5.0,RU,1696996536
134,lionel town,17.8101,-77.2406,29.94,86,45,2.76,JM,1696996536
135,kilindoni,-7.9139,39.6668,25.56,74,11,4.91,TZ,1696996536
136,lerwick,60.1545,-1.1494,9.0,74,30,11.77,GB,1696996267
137,mar del plata,-38.0023,-57.5575,11.16,84,0,6.69,AR,1696996376
138,port elizabeth,-33.918,25.5701,16.16,96,100,1.03,ZA,1696996536
139,ancud,-41.8697,-73.8203,4.32,73,9,3.73,CL,1696996536
140,aasiaat,68.7098,-52.8699,-1.72,95,100,0.33,GL,1696996536
141,iskateley,67.6803,53.1512,1.12,76,87,4.02,RU,1696996536
142,tura,25.5198,90.2201,28.66,65,19,0.61,IN,1696996536
143,seosan,36.7817,126.4522,20.83,53,90,2.12,KR,1696996537
144,rio gallegos,-51.6226,-69.2181,5.03,70,0,11.83,AR,1696996537
145,sinabang,2.4803,96.3801,24.91,92,100,1.93,ID,1696996537
146,acapulco de juarez,16.8634,-99.8901,25.19,85,100,2.6,MX,1696996537
147,miles city,46.4083,-105.8406,18.54,42,0,6.17,US,1696996537
148,puerto santa,-8.9906,-78.6456,18.39,91,52,4.72,PE,1696996537
149,maya,11.2743,124.0579,28.4,75,88,1.03,PH,1696996537
150,champerico,14.3,-91.9167,25.48,91,100,3.68,GT,1696996537
151,jiuquan,39.7432,98.5174,16.1,18,100,2.98,CN,1696996537
152,new martinsville,39.6445,-80.8576,8.78,63,3,1.39,US,1696996537
153,javea,38.7833,0.1667,21.58,84,2,1.34,ES,1696996538
154,kzyltu,53.6364,72.3414,8.46,54,83,6.82,KZ,1696996538
155,bintulu,3.1667,113.0333,32.23,70,40,1.54,MY,1696996538
156,yellowknife,62.456,-114.3525,11.29,90,20,4.63,CA,1696996538
157,whitehorse,60.7161,-135.0538,6.43,74,75,1.54,CA,1696996509
158,pacific grove,36.6177,-121.9166,18.06,83,100,1.54,US,1696996538
159,dunoon,55.947,-4.923,10.29,81,89,7.18,GB,1696996538
160,semey,50.4111,80.2275,18.12,52,0,7.0,KZ,1696996538
161,carnarvon,-24.8667,113.6333,26.25,38,61,9.69,AU,1696996538
162,angul,20.85,85.1,30.17,66,0,2.03,IN,1696996539
163,hithadhoo,-0.6,73.0833,27.56,76,5,7.22,MV,1696996539
164,crane,31.3974,-102.3501,20.69,71,98,6.93,US,1696996539
165,howard springs,-12.497,131.047,31.57,30,52,2.9,AU,1696996539
166,rio grande,-32.035,-52.0986,17.69,93,6,5.9,BR,1696996539
167,williams lake,52.1415,-122.1445,9.76,72,75,5.66,CA,1696996539
168,kodiak,57.79,-152.4072,3.73,60,0,5.14,US,1696996539
169,hamilton,39.1834,-84.5333,10.55,75,0,1.54,US,1696996285
170,new plymouth,-39.0667,174.0833,11.29,56,17,8.04,NZ,1696996539
171,vohl,51.2057,8.9451,16.51,69,98,3.68,DE,1696996539
172,ishikawa,26.4233,127.8214,29.41,57,40,6.69,JP,1696996540
173,olonkinbyen,70.9221,-8.7187,2.73,78,100,15.59,SJ,1696996540
174,vilyuysk,63.7553,121.6247,10.56,77,100,6.26,RU,1696996540
175,port augusta,-32.5,137.7667,33.15,16,0,8.97,AU,1696996540
176,vernon,50.2581,-119.2691,14.05,70,100,0.51,CA,1696996540
177,malabar,-33.9667,151.25,28.43,58,0,8.23,AU,1696996540
178,zhongshan,21.3226,110.5829,24.9,81,100,5.18,CN,1696996540
179,tarko-sale,64.9225,77.785,4.44,80,100,12.07,RU,1696996540
180,quellon,-43.1167,-73.6167,5.2,76,15,4.2,CL,1696996540
181,kavaratti,10.5669,72.642,28.36,60,100,2.44,IN,1696996541
182,constantia,44.1833,28.65,6.5,55,13,2.98,RO,1696996445
183,lebu,-37.6167,-73.65,8.32,78,7,7.1,CL,1696996541
184,conception bay south,47.4999,-52.9981,10.92,97,98,6.98,CA,1696996541
185,muang khong,14.1167,105.85,31.42,64,35,1.34,LA,1696996541
186,las khorey,11.1595,48.1967,28.71,74,3,1.28,SO,1696996541
187,grand falls-windsor,48.9332,-55.6649,13.06,90,100,1.34,CA,1696996541
188,port sudan,19.6175,37.2164,29.25,74,4,1.63,SD,1696996531
189,mirny,62.5353,113.9611,11.8,71,100,5.81,RU,1696996541
190,labrador city,52.9463,-66.9114,7.95,93,100,2.06,CA,1696996541
191,watseka,40.7762,-87.7364,7.41,60,0,2.87,US,1696996541
192,baardheere,2.3446,42.2764,25.52,71,99,5.99,SO,1696996542
193,arenal,8.4593,-73.9433,24.43,97,95,0.73,CO,1696996542
194,khandyga,62.6667,135.6,-0.29,98,100,2.2,RU,1696996542
195,palmas de monte alto,-14.2672,-43.1619,25.9,43,6,5.63,BR,1696996542
196,dryden,49.7833,-92.7503,6.16,87,100,3.09,CA,1696996542
197,port alfred,-33.5906,26.891,16.21,98,48,3.74,ZA,1696996542
198,mek'ele,13.4967,39.4753,16.4,67,2,3.38,ET,1696996542
199,valparaiso,-33.0393,-71.6273,10.8,76,40,4.12,CL,1696996542
200,qamdo,31.1667,97.2333,7.63,44,23,2.65,CN,1696996542
201,parauapebas,-6.0675,-49.9022,25.25,62,2,0.91,BR,1696996542
202,jalai nur,49.45,117.7,14.73,31,37,1.08,CN,1696996543
203,alaghsas,17.0187,8.0168,27.4,16,0,5.42,NE,1696996543
204,olinda,-8.0089,-34.8553,25.85,78,40,4.12,BR,1696996383
205,east london,-33.0153,27.9116,17.52,100,100,3.09,ZA,1696996543
206,klyuchi,52.2667,79.1667,19.05,41,77,7.42,RU,1696996543
207,tafresh,34.692,50.013,16.81,42,4,2.29,IR,1696996543
208,taroa,8.7058,171.2275,28.32,79,90,6.13,MH,1696996543
209,lompoc,34.6391,-120.4579,15.99,85,100,11.62,US,1696996543
210,oranjemund,-28.55,16.4333,13.8,95,41,1.35,NA,1696996544
211,alofi,-19.0595,-169.9187,24.94,61,40,6.69,NU,1696996544
212,esperanza,19.5847,-70.9849,26.83,83,99,1.79,DO,1696996544
213,arkhangel'sk,64.5401,40.5433,0.07,91,17,2.76,RU,1696996544
214,gulf shores,30.246,-87.7008,21.7,56,0,0.0,US,1696996544
215,nemuro,43.3236,145.575,12.53,57,75,5.5,JP,1696996544
216,margaret river,-33.95,115.0667,15.57,55,56,5.65,AU,1696996544
217,phan rang-thap cham,11.5667,108.9833,31.63,62,33,3.07,VN,1696996544
218,merizo village,13.2658,144.6691,31.85,85,100,11.22,GU,1696996544
219,ribeira grande,38.5167,-28.7,21.54,86,79,9.83,PT,1696996544
220,afaahiti,-17.75,-149.2833,27.81,85,22,4.64,PF,1696996545
221,uray,60.1247,64.7758,2.71,83,98,1.79,RU,1696996545
222,byron bay,-28.65,153.6167,22.97,57,17,4.68,AU,1696996545
223,tangzhai,34.4328,116.5911,23.12,38,53,0.98,CN,1696996545
224,tazovsky,67.4667,78.7,3.81,94,100,7.61,RU,1696996545
225,keflavik,64.0049,-22.5624,4.24,70,75,11.32,IS,1696996545
226,pyt-yakh,60.7499,72.8582,3.7,75,100,1.72,RU,1696996545
227,remire-montjoly,4.9167,-52.2667,25.02,94,20,0.0,GF,1696996546
228,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,57,40,8.94,RU,1696996546
229,gisborne,-38.6533,178.0042,12.48,76,36,3.45,NZ,1696996546
230,constitucion,-35.3333,-72.4167,9.83,83,12,4.91,CL,1696996256
231,pisco,-13.7,-76.2167,19.03,82,25,6.69,PE,1696996471
232,kralendijk,12.15,-68.2667,28.99,79,1,7.2,BQ,1696996546
233,sao vicente,-23.9631,-46.3919,23.1,26,58,1.32,BR,1696996546
234,ventspils,57.3894,21.5606,11.96,94,100,9.26,LV,1696996546
235,boguchany,58.3814,97.4531,13.25,65,80,3.13,RU,1696996546
236,minas de marcona,-15.2119,-75.1103,13.7,87,65,5.78,PE,1696996547
237,fale old settlement,-9.3852,-171.2468,28.43,76,97,3.17,TK,1696996547
238,kailua-kona,19.6406,-155.9956,27.98,77,75,2.57,US,1696996252
239,menongue,-14.6585,17.691,18.65,76,97,1.79,AO,1696996547
240,la passe,45.5549,-0.8967,14.99,73,0,2.12,FR,1696996547
241,fort bragg,35.139,-79.006,19.85,61,0,4.63,US,1696996547
242,itoman,26.1247,127.6694,29.43,56,20,7.72,JP,1696996547
243,sai buri,6.7013,101.6168,30.84,69,90,0.78,TH,1696996547
244,tralee,52.2704,-9.7026,14.98,99,100,1.34,IE,1696996547
245,petukhovo,55.0692,67.9019,6.01,67,80,5.34,RU,1696996548
246,fryazevo,55.7319,38.4628,0.68,94,19,2.16,RU,1696996548
247,khovd,48.0056,91.6419,12.26,39,4,0.77,MN,1696996548
248,bonthe,7.5264,-12.505,25.21,89,100,1.95,SL,1696996548
249,paciran,-6.8767,112.3761,31.19,55,91,4.0,ID,1696996548
250,enewetak,11.3474,162.3373,28.84,72,87,5.81,MH,1696996548
251,an nuhud,12.7,28.4333,27.96,54,76,5.22,SD,1696996548
252,mangrol,21.1167,70.1167,27.32,70,6,3.4,IN,1696996548
253,mersing,2.4312,103.8405,32.95,70,40,2.57,MY,1696996548
254,atafu village,-8.5421,-172.5159,28.1,78,85,3.36,TK,1696996548
255,perryton,36.4,-100.8027,16.96,39,0,7.2,US,1696996548
256,dergaon,26.7,93.9667,26.08,86,85,2.77,IN,1696996549
257,mount gambier,-37.8333,140.7667,29.35,24,28,6.36,AU,1696996549
258,sitka,57.0531,-135.33,10.94,82,20,3.09,US,1696996549
259,urzhar,47.093,81.6294,19.33,39,2,2.52,KZ,1696996549
260,nar'yan-mar,67.6713,53.087,1.17,76,90,4.02,RU,1696996549
261,manokwari,-0.8667,134.0833,28.48,74,68,1.7,ID,1696996549
262,itamaraca,-7.7478,-34.8256,26.03,81,60,4.17,BR,1696996549
263,portland,45.5234,-122.6762,13.97,90,75,5.14,US,1696995895
264,primero de mayo,-32.2552,-58.4228,21.97,60,90,5.82,AR,1696996549
265,jinka,5.65,36.65,17.9,84,99,1.5,ET,1696996550
266,cananeia,-25.0147,-47.9267,18.46,92,37,1.49,BR,1696996550
267,lorengau,-2.0226,147.2712,29.49,71,99,4.21,PG,1696996550
268,greymouth,-42.4667,171.2,10.88,67,62,5.93,NZ,1696996264
269,manali,13.1667,80.2667,31.15,78,96,1.62,IN,1696996359
270,el jadid,33.2549,-8.506,19.92,87,100,0.91,MA,1696996550
271,vryburg,-26.9566,24.7284,19.66,63,100,4.64,ZA,1696996550
